,Index,Chapter,Content,Word_Count,Text_Length,Location,LocationType,Time,Event,ESummary,EImportance,CTag,CText,Character,ERole
623,623,10,"“Explain all that,” said the Mock Turtle.",7,41,sea-shore,EXT,day,Alice Shares Her Adventures,"Alice starts to recount her adventures from earlier in the story, revealing her path in Wonderland. This reflects her growth and the changing dynamics with her companions, allowing the reader to see her character development.",6.0,,,,Resolution
624,624,10,"“No, no! The adventures first,” said the Gryphon in an impatient tone: “explanations take such a dreadful time.”",18,112,sea-shore,EXT,day,Alice Shares Her Adventures,"Alice starts to recount her adventures from earlier in the story, revealing her path in Wonderland. This reflects her growth and the changing dynamics with her companions, allowing the reader to see her character development.",6.0,,,,Resolution
625,625,10,"So Alice began telling them her adventures from the time when she first saw the White Rabbit. She was a little nervous about it just at first, the two creatures got so close to her, one on each side, and opened their eyes and mouths so _very_ wide, but she gained courage as she went on. Her listeners were perfectly quiet till she got to the part about her repeating “_You are old, Father William_,” to the Caterpillar, and the words all coming different, and then the Mock Turtle drew a long breath, and said “That’s very curious.”",98,533,sea-shore,EXT,day,Alice Shares Her Adventures,"Alice starts to recount her adventures from earlier in the story, revealing her path in Wonderland. This reflects her growth and the changing dynamics with her companions, allowing the reader to see her character development.",6.0,,,,Resolution
626,626,10,"“It’s all about as curious as it can be,” said the Gryphon.",12,59,sea-shore,EXT,day,The Mock Turtle's Song,,5.0,,,,
627,627,10,“It all came different!” the Mock Turtle repeated thoughtfully. “I should like to hear her try and repeat something now. Tell her to begin.” He looked at the Gryphon as if he thought it had some kind of authority over Alice.,41,224,sea-shore,EXT,day,The Mock Turtle's Song,,5.0,,,,
628,628,10,"“Stand up and repeat ‘’_Tis the voice of the sluggard_,’” said the Gryphon.",13,75,sea-shore,EXT,day,Alice's Recitation Challenge,"The Gryphon insists Alice recite a poem, which leads to a comically jumbled version of 'Tis the voice of the Lobster.' This showcases the absurdity of their interactions.",6.0,,,,
629,629,10,"“How the creatures order one about, and make one repeat lessons!” thought Alice; “I might as well be at school at once.” However, she got up, and began to repeat it, but her head was so full of the Lobster Quadrille, that she hardly knew what she was saying, and the words came very queer indeed:—",56,297,sea-shore,EXT,day,Alice's Recitation Challenge,,6.0,,,,
630,630,10,"“’Tis the voice of the Lobster; I heard him declare, “You have baked me too brown, I must sugar my hair.” As a duck with its eyelids, so he with his nose Trims his belt and his buttons, and turns out his toes.”",43,210,sea-shore,EXT,day,Alice's Recitation Challenge,,6.0,,,,
631,631,10,"[later editions continued as follows When the sands are all dry, he is gay as a lark, And will talk in contemptuous tones of the Shark, But, when the tide rises and sharks are around, His voice has a timid and tremulous sound.]",43,227,sea-shore,EXT,day,Alice's Recitation Challenge,,6.0,,,,
632,632,10,"“That’s different from what _I_ used to say when I was a child,” said the Gryphon.",16,82,sea-shore,EXT,day,Alice's Recitation Challenge,,6.0,,,,
633,633,10,"“Well, I never heard it before,” said the Mock Turtle; “but it sounds uncommon nonsense.”",15,89,sea-shore,EXT,day,Alice's Recitation Challenge,,6.0,,,,
634,634,10,"Alice said nothing; she had sat down with her face in her hands, wondering if anything would _ever_ happen in a natural way again.",24,130,sea-shore,EXT,day,Alice's Recitation Challenge,,6.0,,,,
635,635,10,"“I should like to have it explained,” said the Mock Turtle.",11,59,sea-shore,EXT,day,Alice's Recitation Challenge,,6.0,,,,
636,636,10,"“She can’t explain it,” said the Gryphon hastily. “Go on with the next verse.”",14,78,sea-shore,EXT,day,Alice's Recitation Challenge,,6.0,,,,
637,637,10,"“But about his toes?” the Mock Turtle persisted. “How _could_ he turn them out with his nose, you know?”",19,104,sea-shore,EXT,day,Alice's Recitation Challenge,,6.0,,,,
638,638,10,"“It’s the first position in dancing.” Alice said; but was dreadfully puzzled by the whole thing, and longed to change the subject.",22,130,sea-shore,EXT,day,Alice's Recitation Challenge,,6.0,,,,
639,639,10,"“Go on with the next verse,” the Gryphon repeated impatiently: “it begins ‘_I passed by his garden_.’”",17,102,sea-shore,EXT,day,Alice's Recitation Challenge,,6.0,,,,
640,640,10,"Alice did not dare to disobey, though she felt sure it would all come wrong, and she went on in a trembling voice:—",23,115,sea-shore,EXT,day,Alice's Recitation Challenge,,6.0,,,,
641,641,10,"“I passed by his garden, and marked, with one eye, How the Owl and the Panther were sharing a pie—”",20,99,sea-shore,EXT,day,Alice's Recitation Challenge,,6.0,,,,
642,642,10,"[later editions continued as follows The Panther took pie-crust, and gravy, and meat, While the Owl had the dish as its share of the treat. When the pie was all finished, the Owl, as a boon, Was kindly permitted to pocket the spoon: While the Panther received knife and fork with a growl, And concluded the banquet—]",57,316,sea-shore,EXT,day,Alice's Recitation Challenge,,6.0,,,,
643,643,10,"“What _is_ the use of repeating all that stuff,” the Mock Turtle interrupted, “if you don’t explain it as you go on? It’s by far the most confusing thing _I_ ever heard!”",32,170,sea-shore,EXT,day,Alice's Recitation Challenge,,6.0,,,,
644,644,10,"“Yes, I think you’d better leave off,” said the Gryphon: and Alice was only too glad to do so.",19,94,sea-shore,EXT,day,Alice's Recitation Challenge,,6.0,,,,
645,645,10,“Shall we try another figure of the Lobster Quadrille?” the Gryphon went on. “Or would you like the Mock Turtle to sing you a song?”,25,132,sea-shore,EXT,day,The Mock Turtle's Song,,5.0,,,,
646,646,10,"“Oh, a song, please, if the Mock Turtle would be so kind,” Alice replied, so eagerly that the Gryphon said, in a rather offended tone, “Hm! No accounting for tastes! Sing her ‘_Turtle Soup_,’ will you, old fellow?”",38,214,sea-shore,EXT,day,Mock Turtle's Song Request,"After some nonsensical exchanges, Alice requests the Mock Turtle to sing a song, leading to a humorous rendition of 'Beautiful Soup.' This illustrates the playful spirit of the characters while maintaining a whimsical tone.",5.0,,,,Resolution
647,647,10,"The Mock Turtle sighed deeply, and began, in a voice sometimes choked with sobs, to sing this:—",17,95,sea-shore,EXT,day,Mock Turtle's Song Request,"After some nonsensical exchanges, Alice requests the Mock Turtle to sing a song, leading to a humorous rendition of 'Beautiful Soup.' This illustrates the playful spirit of the characters while maintaining a whimsical tone.",5.0,Action,The Mock Turtle begins to sing a song about soup.,Mock Turtle,Resolution
648,648,10,"“Beautiful Soup, so rich and green, Waiting in a hot tureen! Who for such dainties would not stoop? Soup of the evening, beautiful Soup! Soup of the evening, beautiful Soup!     Beau—ootiful Soo—oop!     Beau—ootiful Soo—oop! Soo—oop of the e—e—evening,     Beautiful, beautiful Soup!",53,284,sea-shore,EXT,day,Mock Turtle's Song Request,"After some nonsensical exchanges, Alice requests the Mock Turtle to sing a song, leading to a humorous rendition of 'Beautiful Soup.' This illustrates the playful spirit of the characters while maintaining a whimsical tone.",5.0,,,,Resolution
649,649,10,"“Beautiful Soup! Who cares for fish, Game, or any other dish? Who would not give all else for two p ennyworth only of beautiful Soup? Pennyworth only of beautiful Soup?     Beau—ootiful Soo—oop!     Beau—ootiful Soo—oop! Soo—oop of the e—e—evening,     Beautiful, beauti—FUL SOUP!”",53,281,sea-shore,EXT,day,Mock Turtle's Song Request,"After some nonsensical exchanges, Alice requests the Mock Turtle to sing a song, leading to a humorous rendition of 'Beautiful Soup.' This illustrates the playful spirit of the characters while maintaining a whimsical tone.",5.0,,,,Resolution
650,650,10,"“Chorus again!” cried the Gryphon, and the Mock Turtle had just begun to repeat it, when a cry of “The trial’s beginning!” was heard in the distance.",27,149,sea-shore,EXT,day,The Trial Call,"A distant cry announces the beginning of a trial, prompting the Gryphon to hurry Alice away. This creates intrigue and anticipation for what comes next, suggesting a shift in the story's focus.",7.0,,,,Cliffhanger
651,651,10,"“Come on!” cried the Gryphon, and, taking Alice by the hand, it hurried off, without waiting for the end of the song.",22,117,sea-shore,EXT,day,The Trial Call,"A distant cry announces the beginning of a trial, prompting the Gryphon to hurry Alice away. This creates intrigue and anticipation for what comes next, suggesting a shift in the story's focus.",7.0,Action,The Gryphon hurries off with Alice to the trial.,Gryphon,Cliffhanger
652,652,10,"“What trial is it?” Alice panted as she ran; but the Gryphon only answered “Come on!” and ran the faster, while more and more faintly came, carried on the breeze that followed them, the melancholy words:—",36,204,sea-shore,EXT,day,The Trial Call,"A distant cry announces the beginning of a trial, prompting the Gryphon to hurry Alice away. This creates intrigue and anticipation for what comes next, suggesting a shift in the story's focus.",7.0,,,,Cliffhanger
653,653,10,"“Soo—oop of the e—e—evening,     Beautiful, beautiful Soup!”",11,60,,,,The Trial Call,"A distant cry announces the beginning of a trial, prompting the Gryphon to hurry Alice away. This creates intrigue and anticipation for what comes next, suggesting a shift in the story's focus.",7.0,,,,Cliffhanger
654,654,11,CHAPTER XI. Who Stole the Tarts?,6,32,,,,,,,Action,The Knave stood before the King and Queen in chains.,Knave of Hearts,
655,655,11,"The King and Queen of Hearts were seated on their throne when they arrived, with a great crowd assembled about them—all sorts of little birds and beasts, as well as the whole pack of cards: the Knave was standing before them, in chains, with a soldier on each side to guard him; and near the King was the White Rabbit, with a trumpet in one hand, and a scroll of parchment in the other. In the very middle of the court was a table, with a large dish of tarts upon it: they looked so good, that it made Alice quite hungry to look at them—“I wish they’d get the trial done,” she thought, “and hand round the refreshments!” But there seemed to be no chance of this, so she began looking at everything about her, to pass away the time.",141,731,court,INT,day,The court convenes,"The King and Queen of Hearts are seated on their throne amid a crowd of various creatures and cards. The Knave of Hearts stands accused of stealing tarts and is in chains, while the White Rabbit prepares to announce the trial's proceedings.",6.0,Statement,Alice wished for the trial to end so she could have refreshments.,Alice,Setup
656,656,11,"Alice had never been in a court of justice before, but she had read about them in books, and she was quite pleased to find that she knew the name of nearly everything there. “That’s the judge,” she said to herself, “because of his great wig.”",46,242,court,INT,day,Alice observes the court,"Alice, unfamiliar with court proceedings but knowledgeable from her readings, identifies the judge as the King and the jury as twelve mixed creatures. She expresses her observations and confusion regarding the jury's actions.",5.0,,,,Setup
657,657,11,"The judge, by the way, was the King; and as he wore his crown over the wig, (look at the frontispiece if you want to see how he did it,) he did not look at all comfortable, and it was certainly not becoming.",43,207,court,INT,day,Alice observes the court,"Alice, unfamiliar with court proceedings but knowledgeable from her readings, identifies the judge as the King and the jury as twelve mixed creatures. She expresses her observations and confusion regarding the jury's actions.",5.0,Statement,The King looked uncomfortable in his crown and wig.,King of Hearts,Setup
658,658,11,"“And that’s the jury-box,” thought Alice, “and those twelve creatures,” (she was obliged to say “creatures,” you see, because some of them were animals, and some were birds,) “I suppose they are the jurors.” She said this last word two or three times over to herself, being rather proud of it: for she thought, and rightly too, that very few little girls of her age knew the meaning of it at all. However, “jury-men” would have done just as well.",80,446,court,INT,day,Alice observes the court,"Alice, unfamiliar with court proceedings but knowledgeable from her readings, identifies the judge as the King and the jury as twelve mixed creatures. She expresses her observations and confusion regarding the jury's actions.",5.0,,,,Setup
659,659,11,"The twelve jurors were all writing very busily on slates. “What are they doing?” Alice whispered to the Gryphon. “They can’t have anything to put down yet, before the trial’s begun.”",31,182,court,INT,day,Alice observes the court,"Alice, unfamiliar with court proceedings but knowledgeable from her readings, identifies the judge as the King and the jury as twelve mixed creatures. She expresses her observations and confusion regarding the jury's actions.",5.0,,,,Setup
660,660,11,"“They’re putting down their names,” the Gryphon whispered in reply, “for fear they should forget them before the end of the trial.”",22,131,court,INT,day,Alice observes the court,"Alice, unfamiliar with court proceedings but knowledgeable from her readings, identifies the judge as the King and the jury as twelve mixed creatures. She expresses her observations and confusion regarding the jury's actions.",5.0,,,,Setup
661,661,11,"“Stupid things!” Alice began in a loud, indignant voice, but she stopped hastily, for the White Rabbit cried out, “Silence in the court!” and the King put on his spectacles and looked anxiously round, to make out who was talking.",40,229,court,INT,day,Alice observes the court,"Alice, unfamiliar with court proceedings but knowledgeable from her readings, identifies the judge as the King and the jury as twelve mixed creatures. She expresses her observations and confusion regarding the jury's actions.",5.0,Action,The Queen ordered silence in the court.,Queen of Hearts,Setup
662,662,11,"Alice could see, as well as if she were looking over their shoulders, that all the jurors were writing down “stupid things!” on their slates, and she could even make out that one of them didn’t know how to spell “stupid,” and that he had to ask his neighbour to tell him. “A nice muddle their slates’ll be in before the trial’s over!” thought Alice.",65,349,court,INT,day,Alice observes the court,"Alice, unfamiliar with court proceedings but knowledgeable from her readings, identifies the judge as the King and the jury as twelve mixed creatures. She expresses her observations and confusion regarding the jury's actions.",5.0,,,,Setup
663,663,11,"One of the jurors had a pencil that squeaked. This of course, Alice could _not_ stand, and she went round the court and got behind him, and very soon found an opportunity of taking it away. She did it so quickly that the poor little juror (it was Bill, the Lizard) could not make out at all what had become of it; so, after hunting all about for it, he was obliged to write with one finger for the rest of the day; and this was of very little use, as it left no mark on the slate.",98,480,court,INT,day,,,,,,,
664,664,11,"“Herald, read the accusation!” said the King.",7,45,court,INT,day,The accusation is read,"The King orders the White Rabbit to read the official accusation: the Queen of Hearts made the tarts, and the Knave of Hearts stole them. This sets the stage for the trial.",7.0,,,,Inciting Incident
665,665,11,"On this the White Rabbit blew three blasts on the trumpet, and then unrolled the parchment scroll, and read as follows:—",21,120,court,INT,day,The accusation is read,"The King orders the White Rabbit to read the official accusation: the Queen of Hearts made the tarts, and the Knave of Hearts stole them. This sets the stage for the trial.",7.0,Action,The King ordered the jury to consider their verdict.,King of Hearts,Inciting Incident
666,666,11,"“The Queen of Hearts, she made some tarts,     All on a summer day: The Knave of Hearts, he stole those tarts,     And took them quite away!”",34,141,court,INT,day,The accusation is read,"The King orders the White Rabbit to read the official accusation: the Queen of Hearts made the tarts, and the Knave of Hearts stole them. This sets the stage for the trial.",7.0,Action,He read the accusation of the Knave.,White Rabbit,Inciting Incident
667,667,11,"“Consider your verdict,” the King said to the jury.",9,51,court,INT,day,,,,,,,
668,668,11,"“Not yet, not yet!” the Rabbit hastily interrupted. “There’s a great deal to come before that!”",16,95,court,INT,day,,,,,,,
669,669,11,"“Call the first witness,” said the King; and the White Rabbit blew three blasts on the trumpet, and called out, “First witness!”",22,128,court,INT,day,,,,Action,The White Rabbit called for the first witness.,White Rabbit,
670,670,11,"The first witness was the Hatter. He came in with a teacup in one hand and a piece of bread-and-butter in the other. “I beg pardon, your Majesty,” he began, “for bringing these in: but I hadn’t quite finished my tea when I was sent for.”",46,237,court,INT,day,Hatter takes the stand,"The first witness, the Hatter, enters the court. His nervous demeanor provides comedic relief, and his confusion about when he started drinking tea adds to the absurdity of the trial.",6.0,Action,The Hatter entered the court apologizing for bringing in his tea.,Hatter,Turning Point
671,671,11,"“You ought to have finished,” said the King. “When did you begin?”",12,66,court,INT,day,Hatter takes the stand,"The first witness, the Hatter, enters the court. His nervous demeanor provides comedic relief, and his confusion about when he started drinking tea adds to the absurdity of the trial.",6.0,,,,Turning Point
672,672,11,"The Hatter looked at the March Hare, who had followed him into the court, arm-in-arm with the Dormouse. “Fourteenth of March, I _think_ it was,” he said.",27,153,court,INT,day,Hatter takes the stand,"The first witness, the Hatter, enters the court. His nervous demeanor provides comedic relief, and his confusion about when he started drinking tea adds to the absurdity of the trial.",6.0,,,,Turning Point
673,673,11,"“Fifteenth,” said the March Hare.",5,33,court,INT,day,Hatter takes the stand,"The first witness, the Hatter, enters the court. His nervous demeanor provides comedic relief, and his confusion about when he started drinking tea adds to the absurdity of the trial.",6.0,Statement,The March Hare corrected the Hatter on the start date.,March Hare,Turning Point
674,674,11,"“Sixteenth,” added the Dormouse.",4,32,court,INT,day,Hatter takes the stand,"The first witness, the Hatter, enters the court. His nervous demeanor provides comedic relief, and his confusion about when he started drinking tea adds to the absurdity of the trial.",6.0,,,,Turning Point
675,675,11,"“Write that down,” the King said to the jury, and the jury eagerly wrote down all three dates on their slates, and then added them up, and reduced the answer to shillings and pence.",34,181,court,INT,day,Hatter takes the stand,"The first witness, the Hatter, enters the court. His nervous demeanor provides comedic relief, and his confusion about when he started drinking tea adds to the absurdity of the trial.",6.0,,,,Turning Point
676,676,11,"“Take off your hat,” the King said to the Hatter.",10,49,court,INT,day,First witness: The Hatter,,6.0,,,,
677,677,11,"“It isn’t mine,” said the Hatter.",6,33,court,INT,day,First witness: The Hatter,,6.0,,,,
678,678,11,"“_Stolen!_” the King exclaimed, turning to the jury, who instantly made a memorandum of the fact.",16,97,court,INT,day,First witness: The Hatter,,6.0,,,,
679,679,11,"“I keep them to sell,” the Hatter added as an explanation; “I’ve none of my own. I’m a hatter.”",19,95,court,INT,day,First witness: The Hatter,,6.0,,,,
680,680,11,"Here the Queen put on her spectacles, and began staring at the Hatter, who turned pale and fidgeted.",18,100,court,INT,day,Queen’s interruption,"The Queen interrupts the Hatter's testimony, causing him to panic. Her overbearing nature highlights her authority and the chaotic atmosphere of the trial.",5.0,Action,She stared at the Hatter with intensity.,Queen of Hearts,Climax
681,681,11,"“Give your evidence,” said the King; “and don’t be nervous, or I’ll have you executed on the spot.”",18,99,court,INT,day,Queen’s interruption,"The Queen interrupts the Hatter's testimony, causing him to panic. Her overbearing nature highlights her authority and the chaotic atmosphere of the trial.",5.0,,,,Climax
682,682,11,"This did not seem to encourage the witness at all: he kept shifting from one foot to the other, looking uneasily at the Queen, and in his confusion he bit a large piece out of his teacup instead of the bread-and-butter.",41,219,court,INT,day,Queen’s interruption,"The Queen interrupts the Hatter's testimony, causing him to panic. Her overbearing nature highlights her authority and the chaotic atmosphere of the trial.",5.0,,,,Climax
683,683,11,"Just at this moment Alice felt a very curious sensation, which puzzled her a good deal until she made out what it was: she was beginning to grow larger again, and she thought at first she would get up and leave the court; but on second thoughts she decided to remain where she was as long as there was room for her.",62,315,court,INT,day,Queen’s interruption,"The Queen interrupts the Hatter's testimony, causing him to panic. Her overbearing nature highlights her authority and the chaotic atmosphere of the trial.",5.0,,,,Climax
684,684,11,"“I wish you wouldn’t squeeze so.” said the Dormouse, who was sitting next to her. “I can hardly breathe.”",19,105,court,INT,day,Queen’s interruption,"The Queen interrupts the Hatter's testimony, causing him to panic. Her overbearing nature highlights her authority and the chaotic atmosphere of the trial.",5.0,Statement,The Dormouse complained about being squeezed by Alice.,Dormouse,Climax
685,685,11,"“I can’t help it,” said Alice very meekly: “I’m growing.”",10,57,court,INT,day,Queen’s interruption,"The Queen interrupts the Hatter's testimony, causing him to panic. Her overbearing nature highlights her authority and the chaotic atmosphere of the trial.",5.0,,,,Climax
686,686,11,"“You’ve no right to grow _here_,” said the Dormouse.",9,52,court,INT,day,Queen’s interruption,"The Queen interrupts the Hatter's testimony, causing him to panic. Her overbearing nature highlights her authority and the chaotic atmosphere of the trial.",5.0,,,,Climax
687,687,11,"“Don’t talk nonsense,” said Alice more boldly: “you know you’re growing too.”",12,77,court,INT,day,Queen’s interruption,"The Queen interrupts the Hatter's testimony, causing him to panic. Her overbearing nature highlights her authority and the chaotic atmosphere of the trial.",5.0,,,,Climax
688,688,11,"“Yes, but _I_ grow at a reasonable pace,” said the Dormouse: “not in that ridiculous fashion.” And he got up very sulkily and crossed over to the other side of the court.",32,170,court,INT,day,Queen’s interruption,"The Queen interrupts the Hatter's testimony, causing him to panic. Her overbearing nature highlights her authority and the chaotic atmosphere of the trial.",5.0,Statement,Alice boldly told the Dormouse that he was growing too.,Alice,Climax
689,689,11,"All this time the Queen had never left off staring at the Hatter, and, just as the Dormouse crossed the court, she said to one of the officers of the court, “Bring me the list of the singers in the last concert!” on which the wretched Hatter trembled so, that he shook both his shoes off.",56,288,court,INT,day,,,,,,,
690,690,11,"“Give your evidence,” the King repeated angrily, “or I’ll have you executed, whether you’re nervous or not.”",17,108,court,INT,day,Chaos in the courtroom,"As the trial progresses, the court descends into chaos with interruptions, absurd testimonies, and the King’s nonsensical orders, illustrating the farcical nature of the proceedings.",6.0,,,,Resolution
691,691,11,"“I’m a poor man, your Majesty,” the Hatter began, in a trembling voice, “—and I hadn’t begun my tea—not above a week or so—and what with the bread-and-butter getting so thin—and the twinkling of the tea—”",36,204,court,INT,day,Chaos in the courtroom,"As the trial progresses, the court descends into chaos with interruptions, absurd testimonies, and the King’s nonsensical orders, illustrating the farcical nature of the proceedings.",6.0,Statement,The Hatter nervously explained his situation to the King.,Hatter,Resolution
692,692,11,“The twinkling of the _what?_” said the King.,8,45,court,INT,day,Chaos in the courtroom,"As the trial progresses, the court descends into chaos with interruptions, absurd testimonies, and the King’s nonsensical orders, illustrating the farcical nature of the proceedings.",6.0,,,,Resolution
693,693,11,"“It _began_ with the tea,” the Hatter replied.",8,46,court,INT,day,Chaos in the courtroom,"As the trial progresses, the court descends into chaos with interruptions, absurd testimonies, and the King’s nonsensical orders, illustrating the farcical nature of the proceedings.",6.0,,,,Resolution
694,694,11,“Of course twinkling begins with a T!” said the King sharply. “Do you take me for a dunce? Go on!”,20,98,court,INT,day,Chaos in the courtroom,"As the trial progresses, the court descends into chaos with interruptions, absurd testimonies, and the King’s nonsensical orders, illustrating the farcical nature of the proceedings.",6.0,,,,Resolution
695,695,11,"“I’m a poor man,” the Hatter went on, “and most things twinkled after that—only the March Hare said—”",18,101,court,INT,day,Chaos in the courtroom,"As the trial progresses, the court descends into chaos with interruptions, absurd testimonies, and the King’s nonsensical orders, illustrating the farcical nature of the proceedings.",6.0,,,,Resolution
696,696,11,“I didn’t!” the March Hare interrupted in a great hurry.,10,56,court,INT,day,Chaos in the courtroom,"As the trial progresses, the court descends into chaos with interruptions, absurd testimonies, and the King’s nonsensical orders, illustrating the farcical nature of the proceedings.",6.0,Statement,The March Hare denied saying something the Hatter claimed he said.,March Hare,Resolution
697,697,11,“You did!” said the Hatter.,5,27,court,INT,day,Chaos in the courtroom,"As the trial progresses, the court descends into chaos with interruptions, absurd testimonies, and the King’s nonsensical orders, illustrating the farcical nature of the proceedings.",6.0,,,,Resolution
698,698,11,“I deny it!” said the March Hare.,7,33,court,INT,day,Chaos in the courtroom,"As the trial progresses, the court descends into chaos with interruptions, absurd testimonies, and the King’s nonsensical orders, illustrating the farcical nature of the proceedings.",6.0,,,,Resolution
699,699,11,"“He denies it,” said the King: “leave out that part.”",10,53,court,INT,day,Chaos in the courtroom,"As the trial progresses, the court descends into chaos with interruptions, absurd testimonies, and the King’s nonsensical orders, illustrating the farcical nature of the proceedings.",6.0,,,,Resolution
700,700,11,"“Well, at any rate, the Dormouse said—” the Hatter went on, looking anxiously round to see if he would deny it too: but the Dormouse denied nothing, being fast asleep.",30,167,court,INT,day,Chaos in the courtroom,"As the trial progresses, the court descends into chaos with interruptions, absurd testimonies, and the King’s nonsensical orders, illustrating the farcical nature of the proceedings.",6.0,,,,Resolution
701,701,11,"“After that,” continued the Hatter, “I cut some more bread-and-butter—”",10,71,court,INT,day,Chaos in the courtroom,"As the trial progresses, the court descends into chaos with interruptions, absurd testimonies, and the King’s nonsensical orders, illustrating the farcical nature of the proceedings.",6.0,Action,The Dormouse remained silent while the other characters spoke.,Dormouse,Resolution
702,702,11,“But what did the Dormouse say?” one of the jury asked.,11,55,court,INT,day,Chaos in the courtroom,"As the trial progresses, the court descends into chaos with interruptions, absurd testimonies, and the King’s nonsensical orders, illustrating the farcical nature of the proceedings.",6.0,,,,Resolution
703,703,11,"“That I can’t remember,” said the Hatter.",7,41,court,INT,day,Chaos in the courtroom,"As the trial progresses, the court descends into chaos with interruptions, absurd testimonies, and the King’s nonsensical orders, illustrating the farcical nature of the proceedings.",6.0,,,,Resolution
704,704,11,"“You _must_ remember,” remarked the King, “or I’ll have you executed.”",11,70,court,INT,day,Chaos in the courtroom,"As the trial progresses, the court descends into chaos with interruptions, absurd testimonies, and the King’s nonsensical orders, illustrating the farcical nature of the proceedings.",6.0,,,,Resolution
705,705,11,"The miserable Hatter dropped his teacup and bread-and-butter, and went down on one knee. “I’m a poor man, your Majesty,” he began.",22,130,court,INT,day,Chaos in the courtroom,"As the trial progresses, the court descends into chaos with interruptions, absurd testimonies, and the King’s nonsensical orders, illustrating the farcical nature of the proceedings.",6.0,,,,Resolution
706,706,11,"“You’re a _very_ poor _speaker_,” said the King.",8,48,court,INT,day,Chaos in the courtroom,"As the trial progresses, the court descends into chaos with interruptions, absurd testimonies, and the King’s nonsensical orders, illustrating the farcical nature of the proceedings.",6.0,,,,Resolution
707,707,11,"Here one of the guinea-pigs cheered, and was immediately suppressed by the officers of the court. (As that is rather a hard word, I will just explain to you how it was done. They had a large canvas bag, which tied up at the mouth with strings: into this they slipped the guinea-pig, head first, and then sat upon it.)",60,317,court,INT,day,Chaos in the courtroom,"As the trial progresses, the court descends into chaos with interruptions, absurd testimonies, and the King’s nonsensical orders, illustrating the farcical nature of the proceedings.",6.0,,,,Resolution
708,708,11,"“I’m glad I’ve seen that done,” thought Alice. “I’ve so often read in the newspapers, at the end of trials, “There was some attempts at applause, which was immediately suppressed by the officers of the court,” and I never understood what it meant till now.”",45,257,court,INT,day,Chaos in the courtroom,"As the trial progresses, the court descends into chaos with interruptions, absurd testimonies, and the King’s nonsensical orders, illustrating the farcical nature of the proceedings.",6.0,,,,Resolution
709,709,11,"“If that’s all you know about it, you may stand down,” continued the King.",14,74,court,INT,day,Chaos in the courtroom,"As the trial progresses, the court descends into chaos with interruptions, absurd testimonies, and the King’s nonsensical orders, illustrating the farcical nature of the proceedings.",6.0,,,,Resolution
710,710,11,"“I can’t go no lower,” said the Hatter: “I’m on the floor, as it is.”",15,69,court,INT,day,Chaos in the courtroom,"As the trial progresses, the court descends into chaos with interruptions, absurd testimonies, and the King’s nonsensical orders, illustrating the farcical nature of the proceedings.",6.0,,,,Resolution
711,711,11,"“Then you may _sit_ down,” the King replied.",8,44,court,INT,day,Chaos in the courtroom,"As the trial progresses, the court descends into chaos with interruptions, absurd testimonies, and the King’s nonsensical orders, illustrating the farcical nature of the proceedings.",6.0,,,,Resolution
712,712,11,"Here the other guinea-pig cheered, and was suppressed.",8,54,court,INT,day,Chaos in the courtroom,"As the trial progresses, the court descends into chaos with interruptions, absurd testimonies, and the King’s nonsensical orders, illustrating the farcical nature of the proceedings.",6.0,,,,Resolution
713,713,11,"“Come, that finished the guinea-pigs!” thought Alice. “Now we shall get on better.”",13,83,court,INT,day,Chaos in the courtroom,"As the trial progresses, the court descends into chaos with interruptions, absurd testimonies, and the King’s nonsensical orders, illustrating the farcical nature of the proceedings.",6.0,,,,Resolution
714,714,11,"“I’d rather finish my tea,” said the Hatter, with an anxious look at the Queen, who was reading the list of singers.",22,116,court,INT,day,,,,,,,
715,715,11,"“You may go,” said the King, and the Hatter hurriedly left the court, without even waiting to put his shoes on.",21,111,court,INT,day,,,,,,,
716,716,11,"“—and just take his head off outside,” the Queen added to one of the officers: but the Hatter was out of sight before the officer could get to the door.",30,152,court,INT,day,,,,,,,
717,717,11,“Call the next witness!” said the King.,7,39,court,INT,day,,,,,,,
718,718,11,"The next witness was the Duchess’s cook. She carried the pepper-box in her hand, and Alice guessed who it was, even before she got into the court, by the way the people near the door began sneezing all at once.",40,210,court,INT,day,The Duchess’s cook appears,"The cook becomes the next witness, carrying a pepper-box and causing sneezing among the spectators. The cook’s refusal to comply with the King’s questioning adds to the disorder of the trial.",4.0,Action,The cook entered the court carrying a pepper-box.,Duchess’s Cook,Turning Point
719,719,11,"“Give your evidence,” said the King.",6,36,court,INT,day,The Duchess’s cook appears,"The cook becomes the next witness, carrying a pepper-box and causing sneezing among the spectators. The cook’s refusal to comply with the King’s questioning adds to the disorder of the trial.",4.0,,,,Turning Point
720,720,11,"“Shan’t,” said the cook.",4,24,court,INT,day,The Duchess’s cook appears,"The cook becomes the next witness, carrying a pepper-box and causing sneezing among the spectators. The cook’s refusal to comply with the King’s questioning adds to the disorder of the trial.",4.0,Statement,The cook refused to give evidence when asked by the King.,Duchess’s Cook,Turning Point
721,721,11,"The King looked anxiously at the White Rabbit, who said in a low voice, “Your Majesty must cross-examine _this_ witness.”",20,121,court,INT,day,The Duchess’s cook appears,"The cook becomes the next witness, carrying a pepper-box and causing sneezing among the spectators. The cook’s refusal to comply with the King’s questioning adds to the disorder of the trial.",4.0,,,,Turning Point
